epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,198.949,0.4536,0.90104,1,0.41662,0.000235264,0.000235264,0.000235264
2,452.461,0.19408,0.95312,1,0.36878,0.000426411,0.000426411,0.000426411
3,2608.53,0.17076,0.98438,1,0.35051,0.000570434,0.000570434,0.000570434
4,2766.01,0.14383,0.97917,1,0.34528,0.000501942,0.000501942,0.000501942
5,2924.02,0.1321,0.98958,1,0.33595,0.000431256,0.000431256,0.000431256
6,3081.58,0.11059,0.98958,1,0.33797,0.00036057,0.00036057,0.00036057
7,3238.67,0.08994,0.98438,1,0.33632,0.000289884,0.000289884,0.000289884
8,3393.75,0.07358,0.98438,1,0.33292,0.000219198,0.000219198,0.000219198
9,3547.98,0.05511,0.97917,1,0.3346,0.000148512,0.000148512,0.000148512
10,3702.64,0.05158,0.97917,1,0.33401,7.7826e-05,7.7826e-05,7.7826e-05
