epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6316,2.26109,4.15058,1.6005,0.00234,0.26315,0.08476,0.04405,1.57727,4.35796,1.2326,0.00022864,0.00022864,0.00022864
2,172.273,1.53295,2.96836,1.18495,0.00329,0.38778,0.13109,0.05287,1.61207,4.1756,1.18524,0.000452896,0.000452896,0.000452896
3,255.477,1.43553,2.30992,1.11797,0.09964,0.34534,0.13219,0.06884,1.61252,3.9629,1.23857,0.000657912,0.000657912,0.000657912
4,339.717,1.41192,2.02396,1.13224,0.71491,0.05756,0.23786,0.1408,1.50941,3.55555,1.22931,0.000843687,0.000843687,0.000843687
5,418.705,1.41351,1.92869,1.13787,0.58538,0.29464,0.37389,0.20138,1.50621,3.24842,1.19026,0.00101022,0.00101022,0.00101022
6,498.034,1.33633,1.7342,1.10535,0.60035,0.34951,0.46539,0.27371,1.49144,2.75038,1.20926,0.00114606,0.00114606,0.00114606
7,576.428,1.31336,1.65515,1.1093,0.5937,0.48325,0.48372,0.27031,1.49942,2.64941,1.16705,0.00108947,0.00108947,0.00108947
8,656.695,1.28204,1.44833,1.06909,0.58044,0.64917,0.65868,0.41999,1.40393,2.07209,1.12282,0.00103288,0.00103288,0.00103288
9,740.446,1.23519,1.42738,1.07269,0.70042,0.6853,0.70369,0.44491,1.34589,1.86829,1.11413,0.000976293,0.000976293,0.000976293
10,822.387,1.25187,1.39597,1.07497,0.6817,0.63904,0.68349,0.42155,1.32611,1.96045,1.11713,0.000919704,0.000919704,0.000919704
11,903.881,1.18305,1.2806,1.05396,0.8052,0.67364,0.72937,0.47629,1.30099,1.5971,1.07242,0.000863116,0.000863116,0.000863116
12,985.481,1.18077,1.23749,1.02922,0.7041,0.80435,0.77648,0.48808,1.3196,1.4766,1.08568,0.000806528,0.000806528,0.000806528
13,1067.8,1.12051,1.19835,1.04479,0.81176,0.74613,0.79255,0.50089,1.37244,1.65336,1.09785,0.000749939,0.000749939,0.000749939
14,1146.35,1.11368,1.15069,1.01609,0.81926,0.78681,0.80301,0.54855,1.14132,1.38242,1.03114,0.000693351,0.000693351,0.000693351
15,1225.66,1.12614,1.16652,1.04313,0.86763,0.79035,0.82247,0.5465,1.20806,1.41556,1.02519,0.000636762,0.000636762,0.000636762
16,1303.72,1.09187,1.35816,1.05916,0.8417,0.78796,0.81,0.51884,1.27073,1.54878,1.0307,0.000580174,0.000580174,0.000580174
17,1383.5,1.07815,1.22743,1.01534,0.87167,0.80512,0.823,0.56687,1.07583,1.25485,0.99246,0.000523586,0.000523586,0.000523586
18,1575.53,1.04437,1.14352,1.00949,0.90913,0.77774,0.81475,0.54473,1.12703,1.23122,0.99953,0.000466997,0.000466997,0.000466997
19,1680.06,1.01699,1.15879,1.01743,0.81652,0.77897,0.80639,0.55916,1.12734,1.29853,1.00993,0.000410409,0.000410409,0.000410409
20,1795.03,1.02005,1.10618,1.00008,0.79676,0.8234,0.82912,0.58851,1.11914,1.22646,1.01032,0.00035382,0.00035382,0.00035382
21,1911.92,0.98389,1.06052,0.9888,0.8579,0.83062,0.85164,0.59147,1.09618,1.18461,0.998,0.000297232,0.000297232,0.000297232
22,2029.09,1.0036,1.09317,0.99141,0.88447,0.82106,0.85612,0.5866,1.11481,1.15444,1.00308,0.000240644,0.000240644,0.000240644
23,2144.13,0.96939,1.03412,0.9802,0.84753,0.85825,0.86019,0.59037,1.09853,1.15161,1.00188,0.000184055,0.000184055,0.000184055
24,2262.02,0.96565,1.03398,0.99772,0.87196,0.8353,0.84932,0.60412,1.06428,1.12497,0.99841,0.000127467,0.000127467,0.000127467
25,2375.68,0.94088,1.00417,0.95977,0.90059,0.81706,0.84967,0.59947,1.07725,1.12415,1.00018,7.08784e-05,7.08784e-05,7.08784e-05
